ecommerce_platform_exists,cart_element_found,price_pattern_found,num_currencies_found,ecommerce_keywords_count,anchor_buy_ratio,num_html_tags,text_to_html_ratio,word_count,anchor_count,avg_price_dom_position,url,label,has_kw_cart,has_kw_00,has_kw_shop,has_kw_accessories,has_kw_shopping,has_kw_2025,has_kw_shipping,has_kw_world,has_kw_news,has_kw_ir,has_kw_products,has_kw_eur,has_kw_brands,has_kw_delivery,has_kw_items,has_kw_resources,has_kw_payment,has_kw_ai,has_kw_live,has_kw_community
1,1,1,3,2,0.05,1569,0.011,646,80,163.586,https://ka-risma.com,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1
1,1,1,1,1,0.0,2139,0.012,1360,229,1514.614,https://pokal-total.de,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,0,0,1,0.031,1133,0.078,1549,160,36.0,https://www.better-shirts.de,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,4,0.009,1427,0.012,997,214,640.442,https://woodenamsterdam.com,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1
1,1,1,0,1,0.009,1334,0.042,1382,215,469.667,https://www.teebooks.co.uk,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0,1,1,0,0,0.013,1881,0.048,1652,159,-1.0,https://www.shkshop.com,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,5,0.065,7524,0.014,3444,413,2003.557,https://theyamazakihome-europe.com,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1
0,1,0,0,0,0.174,954,0.002,783,46,266.5,https://www.dunnesstores.com,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1,1,1,0,0,0.018,4987,0.026,3634,760,1455.023,https://www.shopmancini.com/en,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0
0,0,1,0,2,0.105,1644,0.012,1122,171,716.922,https://www.johnlewis.com,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0
1,1,1,1,4,0.15,3608,0.017,2249,293,2029.95,https://nydj.eu,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0
1,1,0,1,0,0.0,1642,0.041,2192,199,10.5,https://www.tyent-europe.com,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,0,4,0.14,1613,0.012,770,114,1164.824,https://artificialgrass.ie,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0
1,1,1,1,4,0.086,4377,0.024,2995,1178,2822.324,https://www.mcelhinneys.com,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0
0,1,1,0,2,0.037,2555,0.021,2457,589,1588.964,https://www.bergfreunde.eu,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0
1,1,0,0,3,0.03,1504,0.088,1674,203,-1.0,https://www.sprintis.eu,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0
1,1,1,0,1,0.036,2735,0.011,1873,281,662.781,https://www.vestrum-italy.com,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
0,1,1,0,1,0.05,837,0.007,1268,101,500.524,https://www.pianocarpet.nl/en,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0.004,8494,0.024,4628,2284,-1.0,https://allegrolokalnie.pl,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,6,0.026,5343,0.021,4281,961,3814.811,https://www.allbeauty.com,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0
